key,place,geonames_url,gnd_url,lat,lon,source
https://www.geonames.org/2856837,Jena,https://www.geonames.org/2856837,,51.01815,11.42746,bestand
https://www.geonames.org/3073803,Karlsbad (Karlovy Vary),https://www.geonames.org/3073803,,50.23271,12.87117,bestand
name:Karlsbad (Karlovy Vary),Karlsbad (Karlovy Vary),https://www.geonames.org/3073803,,50.23271,12.87117,bestand
name:Kassel,Kassel,,https://d-nb.info/gnd/4029869-3,51.316666,9.5,bestand
https://d-nb.info/gnd/4029869-3,Kassel,,https://d-nb.info/gnd/4029869-3,51.316666,9.5,bestand
name:Kiel,Kiel,https://www.geonames.org/2891122,,54.32133,10.13489,bestand
https://www.geonames.org/2891122,Kiel,https://www.geonames.org/2891122,,54.32133,10.13489,bestand
https://www.geonames.org/2660161,Kilchberg,https://www.geonames.org/2660161,,47.32438,8.54548,bestand
name:Kilchberg,Kilchberg,https://www.geonames.org/2660161,,47.32438,8.54548,bestand
name:Kolberg,Kolberg,https://www.geonames.org/3095795,,54.17565,15.58342,bestand
https://www.geonames.org/3095795,Kolberg,https://www.geonames.org/3095795,,54.17565,15.58342,bestand
https://www.geonames.org/2618468,Kongens Lyngby,https://www.geonames.org/2618468,,55.77044,12.50378,bestand
name:Kongens Lyngby,Kongens Lyngby,https://www.geonames.org/2618468,,55.77044,12.50378,bestand
https://d-nb.info/gnd/4032399-7,Kopenhagen,,https://d-nb.info/gnd/4032399-7,55.675939,12.56553,bestand
name:Kopenhagen,Kopenhagen,,https://d-nb.info/gnd/4032399-7,55.675939,12.56553,bestand
name:Krockow,Krockow,https://www.geonames.org/3094672,,54.77921,18.1616,bestand
https://www.geonames.org/3094672,Krockow,https://www.geonames.org/3094672,,54.77921,18.1616,bestand
https://www.geonames.org/6557732,Kronberg im Taunus,https://www.geonames.org/6557732,,50.1789,8.5134,bestand
name:Kronberg im Taunus,Kronberg im Taunus,https://www.geonames.org/6557732,,50.1789,8.5134,bestand
name:Königsberg,Königsberg,https://www.geonames.org/554234,,54.70649,20.51095,bestand
https://www.geonames.org/554234,Königsberg,https://www.geonames.org/554234,,54.70649,20.51095,bestand
name:Königstein im Taunus,Königstein im Taunus,https://www.geonames.org/2885760,,50.17943,8.47132,bestand
https://www.geonames.org/2885760,Königstein im Taunus,https://www.geonames.org/2885760,,50.17943,8.47132,bestand
https://www.geonames.org/3098722,Landsberg (Warthe),https://www.geonames.org/3098722,,52.73679,15.22878,bestand
name:Landsberg (Warthe),Landsberg (Warthe),https://www.geonames.org/3098722,,52.73679,15.22878,bestand
https://www.geonames.org/2880129,Laufen,https://www.geonames.org/2880129,,47.93568,12.92856,bestand
