letter_id,Date,Sender,Recipient,Place of Dispatch,Place of Destination,Dispatch_GeoNames,Destination_GeoNames,Dispatch_GND,Destination_GND,Date_When,Date_Text,Date_NotBefore,Date_NotAfter,Note,link
15088,"Samstag,  3. Mai 1794",Friedrich von Schlegel,Georg Joachim Göschen,Dresden,Leipzig,https://www.geonames.org/2935022,https://www.geonames.org/2879139,https://d-nb.info/gnd/37172-5,https://d-nb.info/gnd/4035206-7,1794-05-03,1794-05-03,,,,https://briefe-der-romantik.de/letters/view/15088?left=text
15089,"Montag,  2. Juni 1794",Friedrich von Schlegel,Georg Joachim Göschen,Dresden,Leipzig,https://www.geonames.org/2935022,https://www.geonames.org/2879139,https://d-nb.info/gnd/37172-5,https://d-nb.info/gnd/4035206-7,1794-06-02,1794-06-02,,,,https://briefe-der-romantik.de/letters/view/15089?left=text
15090,"Sonntag, 20. Juli 1794",Dorothea von Schlegel,Carl Gustav von Brinckmann,Neustrelitz,Berlin,https://www.geonames.org/2864005,https://www.geonames.org/2950159,https://d-nb.info/gnd/4101150-8,https://d-nb.info/gnd/2004272-3,1794-07-20,1794-07-20,,,,https://briefe-der-romantik.de/letters/view/15090?left=text
15091,Ende Juli 1794,Friedrich von Schlegel,Novalis,Pillnitz,Weißenfels,https://www.geonames.org/2853707,https://www.geonames.org/2811899,https://d-nb.info/gnd/4306696-3,https://d-nb.info/gnd/4065247-6,1794-07-21,Ende Juli 1794,,,,https://briefe-der-romantik.de/letters/view/15091?left=text
15092,"Freitag,  1. August 1794",Novalis,Friedrich von Schlegel,Weißenfels,Pillnitz,https://www.geonames.org/2811899,https://www.geonames.org/2853707,https://d-nb.info/gnd/4065247-6,https://d-nb.info/gnd/4306696-3,1794-08-01,1794-08-01,,,,https://briefe-der-romantik.de/letters/view/15092?left=text
15093,Mitte November 1794,Novalis,Friedrich von Schlegel,Tennstedt,Dresden,https://www.geonames.org/2953325,https://www.geonames.org/2935022,,https://d-nb.info/gnd/37172-5,1794-11-11,Mitte November 1794,,,,https://briefe-der-romantik.de/letters/view/15093?left=text
15094,Juni 1795,Caroline von Schelling,Friedrich von Schlegel,Braunschweig,Pillnitz,https://www.geonames.org/2945024,https://www.geonames.org/2853707,https://d-nb.info/gnd/42808-5,https://d-nb.info/gnd/4306696-3,1795-06-01,Juni 1795,,,,https://briefe-der-romantik.de/letters/view/15094?left=text
15095,August 1795,Caroline von Schelling,Friedrich von Schlegel,Braunschweig,Pillnitz,https://www.geonames.org/2945024,https://www.geonames.org/2853707,https://d-nb.info/gnd/42808-5,https://d-nb.info/gnd/4306696-3,1795-08-01,August 1795,,,,https://briefe-der-romantik.de/letters/view/15095?left=text
15096,"Sonntag, 13. September 1795",Friedrich von Schlegel,Georg Joachim Göschen,Pillnitz,Leipzig,https://www.geonames.org/2853707,https://www.geonames.org/2879139,https://d-nb.info/gnd/4306696-3,https://d-nb.info/gnd/4035206-7,1795-09-13,1795-09-13,,,,https://briefe-der-romantik.de/letters/view/15096?left=text
15097,"Freitag,  2. Oktober 1795",Friedrich von Schlegel,Caroline von Schelling,Dresden,Braunschweig,https://www.geonames.org/2935022,https://www.geonames.org/2945024,https://d-nb.info/gnd/37172-5,https://d-nb.info/gnd/42808-5,1795-10-02,1795-10-02,,,,https://briefe-der-romantik.de/letters/view/15097?left=text
15098,"Montag, 16. November 1795",Friedrich von Schlegel,Friedrich Vieweg,Dresden,Berlin,https://www.geonames.org/2935022,https://www.geonames.org/2950159,https://d-nb.info/gnd/37172-5,https://d-nb.info/gnd/2004272-3,1795-11-16,1795-11-16,,,,https://briefe-der-romantik.de/letters/view/15098?left=text
15099,"Sonntag, 29. November 1795",Friedrich von Schlegel,Friedrich Immanuel Niethammer,Dresden,Jena,https://www.geonames.org/2935022,https://www.geonames.org/2895044,https://d-nb.info/gnd/37172-5,https://d-nb.info/gnd/4028557-1,1795-11-29,1795-11-29,,,,https://briefe-der-romantik.de/letters/view/15099?left=text
15100,"Samstag, 12. Dezember 1795",Friedrich von Schlegel,Friedrich Schiller,Dresden,Jena,https://www.geonames.org/2935022,https://www.geonames.org/2895044,https://d-nb.info/gnd/37172-5,https://d-nb.info/gnd/4028557-1,1795-12-12,1795-12-12,,,,https://briefe-der-romantik.de/letters/view/15100?left=text
15101,"Sonntag, 20. Dezember 1795",Friedrich von Schlegel,Friedrich Vieweg,Dresden,Berlin,https://www.geonames.org/2935022,https://www.geonames.org/2950159,https://d-nb.info/gnd/37172-5,https://d-nb.info/gnd/2004272-3,1795-12-20,1795-12-20,,,,https://briefe-der-romantik.de/letters/view/15101?left=text
15102,"Donnerstag,  7. Januar 1796",Friedrich von Schlegel,Carl August Böttiger,Dresden,Weimar,https://www.geonames.org/2935022,https://www.geonames.org/2812482,https://d-nb.info/gnd/37172-5,https://d-nb.info/gnd/4065105-8,1796-01-07,1796-01-07,,,,https://briefe-der-romantik.de/letters/view/15102?left=text
15103,"Donnerstag, 28. Januar 1796",Friedrich von Schlegel,Carl August Böttiger,Dresden,Weimar,https://www.geonames.org/2935022,https://www.geonames.org/2812482,https://d-nb.info/gnd/37172-5,https://d-nb.info/gnd/4065105-8,1796-01-28,1796-01-28,,,,https://briefe-der-romantik.de/letters/view/15103?left=text
15104,"Donnerstag, 28. Januar 1796",Friedrich von Schlegel,Christoph Martin Wieland,Dresden,Weimar,https://www.geonames.org/2935022,https://www.geonames.org/2812482,https://d-nb.info/gnd/37172-5,https://d-nb.info/gnd/4065105-8,1796-01-28,1796-01-28,,,,https://briefe-der-romantik.de/letters/view/15104?left=text
15105,"Donnerstag, 10. März 1796",Friedrich von Schlegel,Christoph Martin Wieland,Dresden,Weimar,https://www.geonames.org/2935022,https://www.geonames.org/2812482,https://d-nb.info/gnd/37172-5,https://d-nb.info/gnd/4065105-8,1796-03-10,1796-03-10,,,,https://briefe-der-romantik.de/letters/view/15105?left=text
15106,"Donnerstag, 10. März 1796",Friedrich von Schlegel,Carl August Böttiger,Dresden,Weimar,https://www.geonames.org/2935022,https://www.geonames.org/2812482,https://d-nb.info/gnd/37172-5,https://d-nb.info/gnd/4065105-8,1796-03-10,1796-03-10,,,,https://briefe-der-romantik.de/letters/view/15106?left=text
15107,"Mittwoch, 16. März 1796",Friedrich von Schlegel,Friedrich Immanuel Niethammer,Dresden,Jena,https://www.geonames.org/2935022,https://www.geonames.org/2895044,https://d-nb.info/gnd/37172-5,https://d-nb.info/gnd/4028557-1,1796-03-16,1796-03-16,,,,https://briefe-der-romantik.de/letters/view/15107?left=text
15108,"Sonntag, 27. März 1796",Friedrich von Schlegel,Friedrich Immanuel Niethammer,Dresden,Jena,https://www.geonames.org/2935022,https://www.geonames.org/2895044,https://d-nb.info/gnd/37172-5,https://d-nb.info/gnd/4028557-1,1796-03-27,1796-03-27,,,,https://briefe-der-romantik.de/letters/view/15108?left=text
15109,"Freitag, 22. April 1796",Friedrich von Schlegel,Friedrich Immanuel Niethammer,Dresden,Jena,https://www.geonames.org/2935022,https://www.geonames.org/2895044,https://d-nb.info/gnd/37172-5,https://d-nb.info/gnd/4028557-1,1796-04-22,1796-04-22,,,,https://briefe-der-romantik.de/letters/view/15109?left=text
15110,"Montag,  2. Mai 1796",Friedrich von Schlegel,Friedrich Schiller,Dresden,Jena,https://www.geonames.org/2935022,https://www.geonames.org/2895044,https://d-nb.info/gnd/37172-5,https://d-nb.info/gnd/4028557-1,1796-05-02,1796-05-02,,,,https://briefe-der-romantik.de/letters/view/15110?left=text
15111,"Samstag,  7. Mai 1796",Friedrich von Schlegel,Carl August Böttiger,Dresden,Weimar,https://www.geonames.org/2935022,https://www.geonames.org/2812482,https://d-nb.info/gnd/37172-5,https://d-nb.info/gnd/4065105-8,1796-05-07,1796-05-07,,,,https://briefe-der-romantik.de/letters/view/15111?left=text
15112,"Dienstag,  7. Juni 1796",Friedrich von Schlegel,Carl August Böttiger,Pillnitz,Weimar,https://www.geonames.org/2853707,https://www.geonames.org/2812482,https://d-nb.info/gnd/4306696-3,https://d-nb.info/gnd/4065105-8,1796-06-07,1796-06-07,,,,https://briefe-der-romantik.de/letters/view/15112?left=text
15113,"Freitag, 17. Juni 1796",Friedrich von Schlegel,Carl August Böttiger,Pillnitz,Weimar,https://www.geonames.org/2853707,https://www.geonames.org/2812482,https://d-nb.info/gnd/4306696-3,https://d-nb.info/gnd/4065105-8,1796-06-17,1796-06-17,,,,https://briefe-der-romantik.de/letters/view/15113?left=text
15114,"Dienstag, 21. Juni 1796",Friedrich von Schlegel,Carl August Böttiger,Pillnitz,Weimar,https://www.geonames.org/2853707,https://www.geonames.org/2812482,https://d-nb.info/gnd/4306696-3,https://d-nb.info/gnd/4065105-8,1796-06-21,1796-06-21,,,,https://briefe-der-romantik.de/letters/view/15114?left=text
